GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jason-ims,com.qa.ims.controller,ItemController,111,0,2,0,30,0,8,0,7,0
jason-ims,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
jason-ims,com.qa.ims.controller,CustomerController,2,119,0,2,1,33,1,7,1,6
jason-ims,com.qa.ims.controller,OrderController,156,0,4,0,39,0,9,0,7,0
jason-ims,com.qa.ims,Ims,211,35,19,2,55,9,17,4,4,3
jason-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
jason-ims,com.qa.ims.persistence.dao,ItemDaoMysql,206,96,2,0,50,20,6,5,5,5
jason-ims,com.qa.ims.persistence.dao,OrderDaoMysql,293,0,2,0,69,0,11,0,10,0
jason-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,214,105,2,0,51,21,6,5,5,5
jason-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
jason-ims,com.qa.ims.services,OrderServices,16,12,0,0,3,5,3,2,3,2
jason-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
jason-ims,com.qa.ims.persistence.domain,Orders,65,117,10,20,15,36,12,15,4,8
jason-ims,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,10,3,3,2,3
jason-ims,com.qa.ims.persistence.domain,Customer,4,190,0,30,2,51,1,27,1,12
jason-ims,com.qa.ims.persistence.domain,Items,20,156,0,30,1,47,1,25,1,10
jason-ims,com.qa.ims.utils,Utils,8,0,0,0,2,0,1,0,1,0
